Division,Event,Rider,Horse,Dress Score,Dress Place,XC Jump,XC Elapsed,XC Time,To Date Score,To Date Place,Stad Jump,Stad Time,Final Score,Final Place
Open Novice-B,Rocking Horse December H.T.(Dec 2020),Bruce Davidson Jr. ,Alazne,29.10,14,4.00,0.00,33.10,14,0.00,4:58,0.00,33.10,14
Open Novice-B,Rocking Horse December H.T.(Dec 2020),Sarah Bowman,PS Valentino,35.50,15,0.00,0.00,35.50,15,0.00,4:58,0.00,35.50,15
Open Novice-B,Rocking Horse December H.T.(Dec 2020),Lilah Frank,Deadpool,36.90,16,0.00,0.00,36.90,16,0.00,4:41,0.00,36.90,16
Sr. Novice Rider,Rocking Horse December H.T.(Dec 2020),Krista Wilson,Stella,31.70,4,0.00,0.00,31.70,1,0.00,5:11,0.00,31.70,1
Sr. Novice Rider,Rocking Horse December H.T.(Dec 2020),Lee Fairchild,Pleasantly Saucii,32.40,5,0.00,0.00,32.40,2,0.00,4:45,0.00,32.40,2
Sr. Novice Rider,Rocking Horse December H.T.(Dec 2020),Brandy Combs,Shakah Caan,32.60,6-T,0.00,0.00,32.60,3-T,0.00,5:08,0.00,32.60,3
Sr. Novice Rider,Rocking Horse December H.T.(Dec 2020),Annabelle Nieman,Riviera,32.60,6-T,0.00,0.00,32.60,3-T,0.00,4:49,0.00,32.60,4
Sr. Novice Rider,Rocking Horse December H.T.(Dec 2020),Kristin Osley,King of Beer,33.60,9,0.00,0.00,33.60,6,0.00,4:54,0.00,33.60,5
Sr. Novice Rider,Rocking Horse December H.T.(Dec 2020),Melissa Sheffield,Vego,35.20,10,0.00,0.00,35.20,7-T,0.00,4:56,0.00,35.20,6
Sr. Novice Rider,Rocking Horse December H.T.(Dec 2020),Taylor Bishop,El Dartay,28.30,2,4.00,4.00,36.30,9,0.00,4:57,0.00,36.30,7
Sr. Novice Rider,Rocking Horse December H.T.(Dec 2020),Haley McConnell,Very Very Clever,36.40,11,0.00,0.00,36.40,10,0.00,5:08,0.00,36.40,8
Sr. Novice Rider,Rocking Horse December H.T.(Dec 2020),Grace Clayton,Fernhill Benelli,36.90,12,0.00,0.00,36.90,11,0.00,5:08,0.00,36.90,9
Sr. Novice Rider,Rocking Horse December H.T.(Dec 2020),Kari McBride,Tonight At Noon,37.10,13,0.00,0.00,37.10,12,0.00,4:50,0.00,37.10,10
Sr. Novice Rider,Rocking Horse December H.T.(Dec 2020),Erin Nance,Fine Way to Fly,33.30,8,0.00,0.00,33.30,5,20.00,5:05,0.00,53.30,11
Sr. Novice Rider,Rocking Horse December H.T.(Dec 2020),Stephanie Watko,Traminer Riesling,47.40,15,8.00,0.00,55.40,14,0.00,5:14,0.80,56.20,12
Sr. Novice Rider,Rocking Horse December H.T.(Dec 2020),Eileen O'Connor,FGF Electrostatic,31.20,3,4.00,0.00,35.20,7-T,0.00,6:22,28.00,63.20,13
Sr. Novice Rider,Rocking Horse December H.T.(Dec 2020),Zoe Tripp,PS Bell Monarch,37.60,14,8.00,0.00,45.60,13,0.00,0:00,W,W,W
Sr. Novice Rider,Rocking Horse December H.T.(Dec 2020),Robin Barr,Tout Fini,27.40,1,0.00,TE,TE,TE,0.00,4:44,TE,TE,TE
Jr. Beginner Novice Rider,Rocking Horse December H.T.(Dec 2020),Hannah Catsulis,Solo Mio Amor ,25.30,1,4.00,0.00,29.30,1,0.00,5:01,0.00,29.30,1
Jr. Beginner Novice Rider,Rocking Horse December H.T.(Dec 2020),Audrey Bennett,Bad to the Bone,31.50,2,0.00,0.00,31.50,2,0.00,5:17,0.00,31.50,2
Jr. Beginner Novice Rider,Rocking Horse December H.T.(Dec 2020),Jennifer Bright,Teddy O'Brien,41.80,6-T,0.00,0.00,41.80,5,0.00,4:50,0.00,41.80,3
Jr. Beginner Novice Rider,Rocking Horse December H.T.(Dec 2020),Lilly Beliveau,Not Now,39.50,5,4.00,0.00,43.50,6,0.00,5:16,0.00,43.50,4
Jr. Beginner Novice Rider,Rocking Horse December H.T.(Dec 2020),Suzanna Bunn,DeNira,44.80,8-T,4.00,0.00,48.80,8,0.00,5:35,2.80,51.60,5
Jr. Beginner Novice Rider,Rocking Horse December H.T.(Dec 2020),Bailey Morton,Cherry Cola,50.80,10,0.00,0.00,50.80,9,0.00,5:51,9.20,60.00,6
Jr. Beginner Novice Rider,Rocking Horse December H.T.(Dec 2020),Sydney  Jordan,Cast Away,32.30,3,8.00,0.00,40.30,3,20.00,5:23,0.00,60.30,7
Jr. Beginner Novice Rider,Rocking Horse December H.T.(Dec 2020),Isis McPherron,Izzy,37.30,4,4.00,0.00,41.30,4,60.00,5:43,6.00,107.30,8
Jr. Beginner Novice Rider,Rocking Horse December H.T.(Dec 2020),Nyomi Novak,Lightning McQueen,44.80,8-T,0.00,0.00,44.80,7,60.00,7:08,40.00,144.80,9
Jr. Beginner Novice Rider,Rocking Horse December H.T.(Dec 2020),Kiera Wilson,Mischief Managed,41.80,6-T,16.00,E,E,E, ,0:00, , , 
Open Beginner Novice,Rocking Horse December H.T.(Dec 2020),Carole Schaff,Lucky in Louisiana,22.50,2,0.00,0.00,22.50,1,0.00,5:33,2.00,24.50,1
Open Beginner Novice,Rocking Horse December H.T.(Dec 2020),Wendy Lewis,Cierge Magique Argent,27.00,6,0.00,0.00,27.00,3,0.00,5:02,0.00,27.00,2
Open Beginner Novice,Rocking Horse December H.T.(Dec 2020),Patricia Austin,SE Northern Crown,29.50,8,0.00,0.00,29.50,5,0.00,5:27,0.00,29.50,3
Open Beginner Novice,Rocking Horse December H.T.(Dec 2020),Jennifer Young,Bold Alliance,31.30,9,0.00,0.00,31.30,7,0.00,5:11,0.00,31.30,4
Open Beginner Novice,Rocking Horse December H.T.(Dec 2020),Diego Farje,Wise Hamlet du Rouet,29.30,7,8.00,0.00,37.30,10,0.00,5:11,0.00,37.30,5
Open Beginner Novice,Rocking Horse December H.T.(Dec 2020),Lisa Travis,Taliesin GG,24.50,3,0.00,0.00,24.50,2,20.00,5:14,0.00,44.50,6
Open Beginner Novice,Rocking Horse December H.T.(Dec 2020),Zoe Crawford,Wise Kiddo,25.30,4,4.00,0.00,29.30,4,20.00,5:12,0.00,49.30,7
Open Beginner Novice,Rocking Horse December H.T.(Dec 2020),Erin Wages,Morrison,32.80,10,0.00,0.00,32.80,8,20.00,5:24,0.00,52.80,8
Open Beginner Novice,Rocking Horse December H.T.(Dec 2020),Maren Foster,Kanon,26.30,5,4.00,0.00,30.30,6,0.00,6:30,24.80,55.10,9
Open Beginner Novice,Rocking Horse December H.T.(Dec 2020),Diego Farje,Wise Quick Silver,19.80,1,16.00,0.00,35.80,9,0.00,0:00,TE,TE,TE
Sr. Beginner Novice Rider,Rocking Horse December H.T.(Dec 2020),Jessica Vaughn,Mr. Sandman,32.50,2,4.00,0.00,36.50,1,0.00,4:57,0.00,36.50,1
Sr. Beginner Novice Rider,Rocking Horse December H.T.(Dec 2020),Heather Kennedy,Saphira,35.30,4,4.00,0.00,39.30,4,0.00,5:14,0.00,39.30,2
Sr. Beginner Novice Rider,Rocking Horse December H.T.(Dec 2020),Jocilyn Thompson,Caans Jagged Edge,48.30,6,0.00,0.00,48.30,5,0.00,5:21,0.00,48.30,3
Sr. Beginner Novice Rider,Rocking Horse December H.T.(Dec 2020),Robyn Harter,Mister Earl,34.00,3,4.00,0.00,38.00,3,20.00,5:37,3.60,61.60,4
Sr. Beginner Novice Rider,Rocking Horse December H.T.(Dec 2020),Allison Miner,Middleburg,36.80,5,0.00,0.00,36.80,2,60.00,7:45,54.80,151.60,5
Sr. Beginner Novice Rider,Rocking Horse December H.T.(Dec 2020),Brenda Hutton,Bridget,31.50,1,16.00,E,E,E, ,0:00, , , 
Open Preliminary,Sporting Days Farm Horse Trials IV(Dec 2020),Sarah Cousins,Hagrid,37.80,3,0.00,0.40,38.20,2,0.00,5:53,13.60,51.80,1
Open Preliminary,Sporting Days Farm Horse Trials IV(Dec 2020),Elissa Gibbs,Voltaire's Masterclass,32.40,2,0.00,0.00,32.40,1,0.00,6:12,21.20,53.60,2
Open Preliminary,Sporting Days Farm Horse Trials IV(Dec 2020),Elissa Gibbs,Ineke Dansen,43.90,4,12.00,0.00,55.90,3,20.00,6:44,34.00,109.90,3
Open Preliminary,Sporting Days Farm Horse Trials IV(Dec 2020),Julia Wendell,Shiva,32.20,1,4.00,TE,TE,TE,0.00,5:17,TE,TE,TE
Preliminary Rider,Sporting Days Farm Horse Trials IV(Dec 2020),Leila Cluff-Ryan,Grand Finale,25.40,1,4.00,0.00,29.40,1,0.00,5:32,5.20,34.60,1
Preliminary Rider,Sporting Days Farm Horse Trials IV(Dec 2020),Andre Amato,Superman,35.90,4,0.00,0.00,35.90,3,0.00,5:29,4.00,39.90,2
Preliminary Rider,Sporting Days Farm Horse Trials IV(Dec 2020),Sarah Cundith,Big Sur,36.30,5,4.00,0.00,40.30,4,0.00,5:42,9.20,49.50,3
Preliminary Rider,Sporting Days Farm Horse Trials IV(Dec 2020),Liesel Fazekas,Fernhill Lets Face It,35.20,3,12.00,0.00,47.20,5,0.00,5:57,15.20,62.40,4
Preliminary Rider,Sporting Days Farm Horse Trials IV(Dec 2020),Lauren New,Santana,42.80,7,12.00,0.00,54.80,6,0.00,5:39,8.00,62.80,5
Preliminary Rider,Sporting Days Farm Horse Trials IV(Dec 2020),Alese Lyle,Princess Leia,33.90,2,0.00,0.00,33.90,2,20.00,6:43,33.60,87.50,6
Preliminary Rider,Sporting Days Farm Horse Trials IV(Dec 2020),Carleigh Fedorka,Dynamaker,39.10,6,16.00,0.00,55.10,7,20.00,5:54,14.00,89.10,7
Open Training,Sporting Days Farm Horse Trials IV(Dec 2020),Jodie Potts,Island Fever,33.90,5,0.00,0.00,33.90,2,0.00,5:23,0.00,33.90,1
Open Training,Sporting Days Farm Horse Trials IV(Dec 2020),Daniel Sarango,Emmaretto CSF,34.30,6,0.00,0.00,34.30,3,0.00,5:06,0.00,34.30,2
Open Training,Sporting Days Farm Horse Trials IV(Dec 2020),Waylon Roberts,Fernhill IKandy,35.20,8-T,0.00,0.00,35.20,4,0.00,5:00,0.00,35.20,3
Open Training,Sporting Days Farm Horse Trials IV(Dec 2020),Taylor Berlin,Chesterfield Irrefutable,37.50,11-T,0.00,0.00,37.50,5,0.00,5:43,0.00,37.50,4
Open Training,Sporting Days Farm Horse Trials IV(Dec 2020),Julie Richards,Fernhill Silver Lining,31.10,1,8.00,0.00,39.10,6,0.00,5:13,0.00,39.10,5
Open Training,Sporting Days Farm Horse Trials IV(Dec 2020),Jessica Schultz,FGF Contingent Payment,35.20,8-T,4.00,0.00,39.20,7,0.00,5:11,0.00,39.20,6
Open Training,Sporting Days Farm Horse Trials IV(Dec 2020),Waylon Roberts,RSH Lady Willoughby,41.80,14,0.00,0.00,41.80,8,0.00,5:17,0.00,41.80,7
Open Training,Sporting Days Farm Horse Trials IV(Dec 2020),Pippa Moon,Garryduff Douggy,38.20,13,4.00,0.00,42.20,9,0.00,5:51,0.00,42.20,8
Open Training,Sporting Days Farm Horse Trials IV(Dec 2020),Taylor Berlin,Chesterfield Dauntless,34.60,7,8.00,0.00,42.60,10,0.00,5:24,0.00,42.60,9
Open Training,Sporting Days Farm Horse Trials IV(Dec 2020),Daniel Sarango,Star Shrek,37.30,10,8.00,0.00,45.30,11,0.00,5:10,0.00,45.30,10
Open Training,Sporting Days Farm Horse Trials IV(Dec 2020),Jessica Schultz,Angelic Warrior,32.50,3-T,16.00,0.00,48.50,12,0.00,5:49,0.00,48.50,11
Open Training,Sporting Days Farm Horse Trials IV(Dec 2020),Julie Richards,Fernhill Kildimo Quality,32.10,2,0.00,0.00,32.10,1,0.00,6:37,18.00,50.10,12
Open Training,Sporting Days Farm Horse Trials IV(Dec 2020),Jane McDonald MacLeod,Peace Force,37.50,11-T,12.00,0.00,49.50,13,20.00,5:57,2.00,71.50,13
Open Training,Sporting Days Farm Horse Trials IV(Dec 2020),Whitney Pierpont,Indie,32.50,3-T,12.00,E,E,E, ,0:00, , , 
Preliminary/Training,Sporting Days Farm Horse Trials IV(Dec 2020),Julie Richards,Fernhill 13,35.00,2,0.00,0.00,35.00,1,0.00,5:26,0.00,35.00,1
Preliminary/Training,Sporting Days Farm Horse Trials IV(Dec 2020),Tonya Commins Amato,Get Smart,34.80,1,4.00,0.00,38.80,2,0.00,5:40,0.00,38.80,2
Preliminary/Training,Sporting Days Farm Horse Trials IV(Dec 2020),Lauren Brooks,Fernhill Focus Maxi,36.70,4,12.00,0.00,48.70,3,0.00,5:23,0.00,48.70,3
Preliminary/Training,Sporting Days Farm Horse Trials IV(Dec 2020),Julie Richards,Fernhill Disco,35.90,3,12.00,E,E,E, ,0:00, , , 
Training Rider,Sporting Days Farm Horse Trials IV(Dec 2020),Crockett  Miller,Mr Panda,29.60,1,0.00,0.00,29.60,1,0.00,5:09,0.00,29.60,1
Training Rider,Sporting Days Farm Horse Trials IV(Dec 2020),Symantha Melemed,CCS Thorin,32.50,3,0.00,0.00,32.50,2,0.00,5:49,0.00,32.50,2
Training Rider,Sporting Days Farm Horse Trials IV(Dec 2020),Anna Bosworth ,Galapagos ,33.60,5,0.00,0.00,33.60,3,0.00,5:52,0.00,33.60,3
Training Rider,Sporting Days Farm Horse Trials IV(Dec 2020),Josephine Irish,Wil Celtic Charlie,35.70,7,0.00,0.00,35.70,4,0.00,5:13,0.00,35.70,4
Training Rider,Sporting Days Farm Horse Trials IV(Dec 2020),Alexa  Duncan,Double Trouble,35.90,8-T,0.00,0.00,35.90,5,0.00,5:07,0.00,35.90,5
Training Rider,Sporting Days Farm Horse Trials IV(Dec 2020),Stephanie Counts,Emillion To One,36.80,11-T,0.00,0.00,36.80,6,0.00,5:41,0.00,36.80,6
Training Rider,Sporting Days Farm Horse Trials IV(Dec 2020),Lucy Israel,Liam,38.00,13,0.00,0.00,38.00,7,0.00,5:48,0.00,38.00,7
Training Rider,Sporting Days Farm Horse Trials IV(Dec 2020),Samantha Baer,FGF Bob's Wired,35.90,8-T,4.00,0.00,39.90,8,0.00,5:36,0.00,39.90,8
Training Rider,Sporting Days Farm Horse Trials IV(Dec 2020),Jaclyn McElhaney,Strongest,36.40,10,4.00,0.00,40.40,9,0.00,5:51,0.00,40.40,9
Training Rider,Sporting Days Farm Horse Trials IV(Dec 2020),Maia Ramberg,WL Bon Bellini,32.70,4,8.00,0.00,40.70,10,0.00,5:37,0.00,40.70,10
Training Rider,Sporting Days Farm Horse Trials IV(Dec 2020),Stephanie Lambert,Godiva Chocolate ,35.20,6,8.00,0.00,43.20,12,0.00,5:11,0.00,43.20,11
Training Rider,Sporting Days Farm Horse Trials IV(Dec 2020),Jennifer Mulholland,Casanova,39.80,15,4.00,0.00,43.80,13,0.00,5:49,0.00,43.80,12
Training Rider,Sporting Days Farm Horse Trials IV(Dec 2020),Scout Beddingfield,Mighty Mouse,40.20,16,4.00,0.00,44.20,14,0.00,5:24,0.00,44.20,13
Training Rider,Sporting Days Farm Horse Trials IV(Dec 2020),Katlyn Parker,Bankers Mark ,38.40,14,8.00,0.00,46.40,15,0.00,5:12,0.00,46.40,14
Training Rider,Sporting Days Farm Horse Trials IV(Dec 2020),Katelyn Roberts,Destiny Revealed,43.40,17,4.00,0.00,47.40,16,0.00,5:21,0.00,47.40,15
Training Rider,Sporting Days Farm Horse Trials IV(Dec 2020),Nathan Merchant,Papa Choo Choo,31.80,2,16.00,0.00,47.80,17,0.00,5:34,0.00,47.80,16
Training Rider,Sporting Days Farm Horse Trials IV(Dec 2020),Lauren Lindsay,FGF Zortec,36.80,11-T,4.00,0.00,40.80,11,20.00,5:40,0.00,60.80,17
Novice Rider-A,Sporting Days Farm Horse Trials IV(Dec 2020),Ava Friese,CMF Diamond Promise,31.70,1,0.00,0.00,31.70,1,0.00,5:01,0.00,31.70,1
Novice Rider-A,Sporting Days Farm Horse Trials IV(Dec 2020),Sofia Samuelsson,FourFields Bella Flight,33.60,3,0.00,0.00,33.60,2,0.00,4:46,0.00,33.60,2
Novice Rider-A,Sporting Days Farm Horse Trials IV(Dec 2020),Mackenzie VanEffen,Cadall,34.10,6,0.00,0.00,34.10,3,0.00,4:57,0.00,34.10,3
Novice Rider-A,Sporting Days Farm Horse Trials IV(Dec 2020),Claire Seabrook,Herbie the Love Bug,36.20,8,0.00,0.00,36.20,5,0.00,4:54,0.00,36.20,4
Novice Rider-A,Sporting Days Farm Horse Trials IV(Dec 2020),Natalie Woodie,Soul Blues,32.90,2,4.00,0.00,36.90,6,0.00,5:02,0.00,36.90,5
Novice Rider-A,Sporting Days Farm Horse Trials IV(Dec 2020),Katherine  Farmer,Incredibulldelay,37.10,10,0.00,0.00,37.10,7,0.00,5:15,0.00,37.10,6
Novice Rider-A,Sporting Days Farm Horse Trials IV(Dec 2020),Emma Mendoza,Fullers London Pride,33.80,4-T,4.00,0.00,37.80,8,0.00,4:52,0.00,37.80,7
Novice Rider-A,Sporting Days Farm Horse Trials IV(Dec 2020),Sophie Seabrook,Upside Down & Backwards,33.80,4-T,8.00,0.00,41.80,9,0.00,5:08,0.00,41.80,8
Novice Rider-A,Sporting Days Farm Horse Trials IV(Dec 2020),Kay Burack,Piper,36.70,9,8.00,0.00,44.70,10,0.00,5:09,0.00,44.70,9
Novice Rider-A,Sporting Days Farm Horse Trials IV(Dec 2020),Livy Chambers,Fernhill Stateside,35.00,7,0.00,0.00,35.00,4,0.00,6:31,20.00,55.00,10
Novice Rider-A,Sporting Days Farm Horse Trials IV(Dec 2020),Hope Wienholt,Dreamer,43.30,11,12.00,E,E,E, ,0:00, , , 
Novice Rider-B,Sporting Days Farm Horse Trials IV(Dec 2020),Eleanor Gray,Get Going,34.50,2,0.00,0.00,34.50,2,0.00,5:15,0.00,34.50,1
Novice Rider-B,Sporting Days Farm Horse Trials IV(Dec 2020),Patricia Thompson,The dark knight,36.20,4,0.00,0.00,36.20,3,0.00,5:18,0.00,36.20,2
Novice Rider-B,Sporting Days Farm Horse Trials IV(Dec 2020),Charlotte Greenbaum,Nomi Sunrider,37.40,6,0.00,0.00,37.40,4,0.00,4:55,0.00,37.40,3
Novice Rider-B,Sporting Days Farm Horse Trials IV(Dec 2020),Michelle Miller,Argosy,35.00,3,4.00,0.00,39.00,5,0.00,5:51,4.00,43.00,4
Novice Rider-B,Sporting Days Farm Horse Trials IV(Dec 2020),Richard Moon,Tyrion,37.10,5,8.00,0.00,45.10,8,0.00,5:00,0.00,45.10,5
Novice Rider-B,Sporting Days Farm Horse Trials IV(Dec 2020),Heidi Jones,You Got It,39.80,7,0.00,1.60,41.40,6,0.00,5:52,4.40,45.80,6
Novice Rider-B,Sporting Days Farm Horse Trials IV(Dec 2020),Roisin O'Rahilly,Happy Times,27.90,1,0.00,0.00,27.90,1,20.00,5:53,4.80,52.70,7
Novice Rider-B,Sporting Days Farm Horse Trials IV(Dec 2020),Steven Long,Sebastian,40.20,8,4.00,0.00,44.20,7,0.00,0:00,W,W,W
Novice Rider-B,Sporting Days Farm Horse Trials IV(Dec 2020),Laurie Broome,Uno Momentum,42.40,9,20.00,R,R,R, ,0:00, , , 
Open Novice,Sporting Days Farm Horse Trials IV(Dec 2020),Becky Holder,Miracle Eclipse,28.60,1,0.00,0.00,28.60,1,0.00,4:54,0.00,28.60,1
Open Novice,Sporting Days Farm Horse Trials IV(Dec 2020),Julie Richards,Spin talk,30.50,3,0.00,0.00,30.50,3,0.00,5:00,0.00,30.50,2
Open Novice,Sporting Days Farm Horse Trials IV(Dec 2020),Amy Wise-Walker,Zero Gravity,30.70,4,0.00,0.00,30.70,4,0.00,5:33,0.00,30.70,3
Open Novice,Sporting Days Farm Horse Trials IV(Dec 2020),Julie Richards,Fernhill Magic,32.90,7,0.00,0.00,32.90,5,0.00,5:00,0.00,32.90,4
Open Novice,Sporting Days Farm Horse Trials IV(Dec 2020),Sarah Lutz,Today's Special,33.10,8,0.00,0.00,33.10,6,0.00,5:12,0.00,33.10,5
Open Novice,Sporting Days Farm Horse Trials IV(Dec 2020),Tracey Young,Biara G,34.30,10,0.00,0.00,34.30,7,0.00,5:01,0.00,34.30,6
Open Novice,Sporting Days Farm Horse Trials IV(Dec 2020),Hannah Ackerman,King's Ransome,31.00,5,4.00,0.00,35.00,8,0.00,4:54,0.00,35.00,7
Open Novice,Sporting Days Farm Horse Trials IV(Dec 2020),Deborah McWhirter,FE Show Business,32.60,6,4.00,0.00,36.60,9,0.00,5:17,0.00,36.60,8
Open Novice,Sporting Days Farm Horse Trials IV(Dec 2020),Vicki Reynolds,Smart Enough,37.60,12-T,0.00,0.00,37.60,10,0.00,5:03,0.00,37.60,9
Open Novice,Sporting Days Farm Horse Trials IV(Dec 2020),Sarah Cousins,Candy Cigarette,33.80,9,4.00,0.00,37.80,11,0.00,5:24,0.00,37.80,10
Open Novice,Sporting Days Farm Horse Trials IV(Dec 2020),Jennifer Fox,Hey Jude,35.50,11,4.00,0.00,39.50,12,100.00,0:00,E,E,E
Open Novice,Sporting Days Farm Horse Trials IV(Dec 2020),Bob Thornton,Carlingford Castle,37.60,12-T,12.00,R,R,R, ,0:00, , , 
Open Novice,Sporting Days Farm Horse Trials IV(Dec 2020),Deborah McWhirter,Fernhill Fine Diamond,29.50,2,0.00,0.00,29.50,2,65.00,0:00,RF,RF,RF
Training/Novice,Sporting Days Farm Horse Trials IV(Dec 2020),Mellisa Warden,Unfolding Blame ,31.40,2,4.00,0.00,35.40,1,0.00,5:00,0.00,35.40,1
Training/Novice,Sporting Days Farm Horse Trials IV(Dec 2020),Julia Wendell,Go Global,30.00,1,8.00,0.00,38.00,2,0.00,5:54,5.20,43.20,2
Beginner Novice Rider,Sporting Days Farm Horse Trials IV(Dec 2020),Jane Manetta,George,32.30,2-T,0.00,0.00,32.30,1-T,0.00,4:19,0.00,32.30,1
Beginner Novice Rider,Sporting Days Farm Horse Trials IV(Dec 2020),Susan Quackenbush,Anony,32.80,4-T,0.00,0.00,32.80,3-T,0.00,4:46,0.00,32.80,2
Beginner Novice Rider,Sporting Days Farm Horse Trials IV(Dec 2020),Nancy Z. Wilson,Lagerfeld,32.80,4-T,0.00,0.00,32.80,3-T,0.00,4:21,0.00,32.80,3
Beginner Novice Rider,Sporting Days Farm Horse Trials IV(Dec 2020),Suzanne Murray,Private Show,33.30,6,0.00,0.00,33.30,5,0.00,4:12,0.00,33.30,4
Beginner Novice Rider,Sporting Days Farm Horse Trials IV(Dec 2020),Serena Thompson,Notonyourbestday,35.50,8,0.00,0.00,35.50,7,0.00,5:00,2.80,38.30,5
Beginner Novice Rider,Sporting Days Farm Horse Trials IV(Dec 2020),Hannah Miller,Aiden Star,35.80,9,4.00,0.00,39.80,8,0.00,4:49,0.00,39.80,6
Beginner Novice Rider,Sporting Days Farm Horse Trials IV(Dec 2020),Jessica Wymbs,FGF King of the Nile,36.30,10-T,4.00,0.00,40.30,9-T,0.00,4:37,0.00,40.30,7
Beginner Novice Rider,Sporting Days Farm Horse Trials IV(Dec 2020),Emmalee Berryhill,Little Black Dress,36.30,10-T,4.00,0.00,40.30,9-T,0.00,4:30,0.00,40.30,8
Beginner Novice Rider,Sporting Days Farm Horse Trials IV(Dec 2020),Suzanne Hillhouse,FGF Bob'n for Silver ,36.30,10-T,4.00,0.00,40.30,9-T,0.00,5:02,3.60,43.90,9
Beginner Novice Rider,Sporting Days Farm Horse Trials IV(Dec 2020),Laurie Broome,St. Ann's Bay,39.80,14,4.00,0.40,44.20,12,0.00,4:42,0.00,44.20,10
Beginner Novice Rider,Sporting Days Farm Horse Trials IV(Dec 2020),Souppee Hooks,Natia,38.80,13,4.00,10.00,52.80,13,0.00,4:33,0.00,52.80,11
Beginner Novice Rider,Sporting Days Farm Horse Trials IV(Dec 2020),Anna Scoggins,Kilcarna Robin,32.30,2-T,0.00,0.00,32.30,1-T,20.00,6:43,44.00,96.30,12
Beginner Novice Rider,Sporting Days Farm Horse Trials IV(Dec 2020),Makenzie McGuire,FGF One Last Chance,35.30,7,24.00,27.60,86.90,14,65.00,0:00,RF,RF,RF
Beginner Novice Rider,Sporting Days Farm Horse Trials IV(Dec 2020),Ainsley Slicker,Horizzon,31.00,1,4.00,0.00,35.00,6,65.00,0:00,RF,RF,RF
Open Beginner Novice,Sporting Days Farm Horse Trials IV(Dec 2020),Elise Santiz,Power Trip,28.50,1,0.00,0.00,28.50,1,0.00,4:28,0.00,28.50,1
Open Beginner Novice,Sporting Days Farm Horse Trials IV(Dec 2020),Lauren New,Zenith Titan,30.30,4,0.00,0.00,30.30,4,0.00,4:14,0.00,30.30,2
Open Beginner Novice,Sporting Days Farm Horse Trials IV(Dec 2020),Logan Harris,Jenesis HF,30.80,5,0.00,0.00,30.80,5,0.00,4:09,0.00,30.80,3
Open Beginner Novice,Sporting Days Farm Horse Trials IV(Dec 2020),Madison Smith,Cypress WT,32.80,8,0.00,0.00,32.80,6,0.00,4:28,0.00,32.80,4
Open Beginner Novice,Sporting Days Farm Horse Trials IV(Dec 2020),Maddie Lichten,AF Albertous,33.80,11,0.00,0.80,34.60,7,0.00,4:52,0.00,34.60,5
Open Beginner Novice,Sporting Days Farm Horse Trials IV(Dec 2020),Kerry Torrey,My Pal Jerry,31.80,6,4.00,0.00,35.80,9,0.00,4:50,0.00,35.80,6
Open Beginner Novice,Sporting Days Farm Horse Trials IV(Dec 2020),Carson Whitehead,Johnny Bee Good,37.80,14,0.00,0.00,37.80,10,0.00,4:35,0.00,37.80,7
Open Beginner Novice,Sporting Days Farm Horse Trials IV(Dec 2020),Jane McDonald MacLeod,DK Daisy,39.30,15,0.00,0.00,39.30,11,0.00,4:46,0.00,39.30,8
Open Beginner Novice,Sporting Days Farm Horse Trials IV(Dec 2020),Emma Doremus,Simon Says,32.30,7,8.00,0.00,40.30,12,0.00,4:10,0.00,40.30,9
Open Beginner Novice,Sporting Days Farm Horse Trials IV(Dec 2020),Jessica Schultz,FGF Differential,34.80,12,8.00,0.00,42.80,13,0.00,4:40,0.00,42.80,10
Open Beginner Novice,Sporting Days Farm Horse Trials IV(Dec 2020),Katherine Thornton,Carlingford Beach Boy,35.00,13,0.00,0.00,35.00,8,0.00,5:18,10.00,45.00,11
Open Beginner Novice,Sporting Days Farm Horse Trials IV(Dec 2020),Lauren New,Zenith Fly Me to the Moon,33.30,9-T,12.00,1.60,46.90,14,0.00,4:09,0.00,46.90,12
Open Beginner Novice,Sporting Days Farm Horse Trials IV(Dec 2020),Denis Glaccum,Fake Start,30.00,2-T,0.00,0.00,30.00,2-T,20.00,6:16,33.20,83.20,13
Open Beginner Novice,Sporting Days Farm Horse Trials IV(Dec 2020),Heather Sinclair,Force Ten,30.00,2-T,0.00,0.00,30.00,2-T,100.00,0:00,E,E,E
Open Beginner Novice,Sporting Days Farm Horse Trials IV(Dec 2020),McKenna Miller,Bo Jango,33.30,9-T,8.00,RF,RF,RF, ,0:00, , , 
Starter,Sporting Days Farm Horse Trials IV(Dec 2020),Carleigh Fedorka,Judge Johnny,32.80,1,0.00,0.00,32.80,1,0.00,3:57,0.00,32.80,1
Starter,Sporting Days Farm Horse Trials IV(Dec 2020),Shawna Dietrich,Cooper,35.00,2,0.00,0.00,35.00,2,0.00,3:34,0.00,35.00,2
Starter,Sporting Days Farm Horse Trials IV(Dec 2020),Michelle Miller,Salted Carmel,37.20,4,0.00,0.00,37.20,3,0.00,4:11,2.40,39.60,3
Starter,Sporting Days Farm Horse Trials IV(Dec 2020),McKinsley Slicker,Aged in Oak,36.70,3,4.00,0.00,40.70,4,20.00,4:11,2.40,63.10,4
Starter,Sporting Days Farm Horse Trials IV(Dec 2020),Chloe Frakes,Ryker,50.30,5,0.00,0.00,50.30,5,20.00,4:39,13.60,83.90,5
